instrument_id,party_id,protection_id,BS_ITEM,BS_COUNT_SECTOR,outstanding_nominal_amount,ref_period,instrument_type,currency
DE_A20_LOAN_00000,DE_PARTY_00164,PROT_00092,A20,1000,1521.35,2023-12,LOAN,EUR
DE_A20_LOAN_00001,DE_PARTY_00029,PROT_00155,A20,1000,1039.41,2023-12,LOAN,EUR
DE_A20_LOAN_00002,DE_PARTY_00007,PROT_00008,A20,1000,1665.66,2023-12,LOAN,EUR
DE_A20_LOAN_00003,DE_PARTY_00190,PROT_00363,A20,1000,2816.31,2023-12,LOAN,EUR
DE_A20_LOAN_00004,DE_PARTY_00071,PROT_00274,A20,1000,981.29,2023-12,LOAN,EUR
DE_A20_LOAN_00005,DE_PARTY_00063,PROT_00065,A20,1000,981.3,2023-12,LOAN,EUR
DE_A20_LOAN_00006,DE_PARTY_00058,PROT_00141,A20,1000,2912.87,2023-12,LOAN,EUR
DE_A20_LOAN_00007,DE_PARTY_00036,PROT_00024,A20,1000,1789.74,2023-12,LOAN,EUR
DE_A20_LOAN_00008,DE_PARTY_00189,PROT_00499,A20,1000,852.08,2023-12,LOAN,EUR
DE_A20_LOAN_00009,DE_PARTY_00027,PROT_00028,A20,1000,1563.84,2023-12,LOAN,EUR
DE_A20_LOAN_00010,DE_PARTY_00174,PROT_00284,A20,1000,855.18,2023-12,LOAN,EUR
DE_A20_LOAN_00011,DE_PARTY_00190,PROT_00150,A20,1000,854.0,2023-12,LOAN,EUR
DE_A20_LOAN_00012,DE_PARTY_00140,PROT_00358,A20,1000,1305.76,2023-12,LOAN,EUR
DE_A20_LOAN_00013,DE_PARTY_00023,PROT_00484,A20,1000,358.31,2023-12,LOAN,EUR
DE_A20_LOAN_00014,DE_PARTY_00152,PROT_00065,A20,1000,401.18,2023-12,LOAN,EUR
DE_A20_LOAN_00015,DE_PARTY_00109,PROT_00327,A20,1000,805.93,2023-12,LOAN,EUR
DE_A20_LOAN_00016,DE_PARTY_00009,PROT_00445,A20,1000,615.03,2023-12,LOAN,EUR
DE_A20_LOAN_00017,DE_PARTY_00008,PROT_00386,A20,1000,1363.64,2023-12,LOAN,EUR
DE_A20_LOAN_00018,DE_PARTY_00024,PROT_00252,A20,1000,654.94,2023-12,LOAN,EUR
DE_A20_LOAN_00019,DE_PARTY_00056,PROT_00053,A20,1000,483.95,2023-12,LOAN,EUR
DE_A20_LOAN_00020,DE_PARTY_00060,PROT_00447,A20,1000,2721.0,2023-12,LOAN,EUR
DE_A20_LOAN_00021,DE_PARTY_00130,PROT_00007,A20,1000,986.24,2023-12,LOAN,EUR
DE_A20_LOAN_00022,DE_PARTY_00155,PROT_00294,A20,1000,1176.01,2023-12,LOAN,EUR
DE_A20_LOAN_00023,DE_PARTY_00007,PROT_00146,A20,1000,480.35,2023-12,LOAN,EUR
DE_A20_LOAN_00024,DE_PARTY_00144,PROT_00241,A20,1000,814.63,2023-12,LOAN,EUR
DE_A20_LOAN_00025,DE_PARTY_00051,PROT_00246,A20,1000,1207.03,2023-12,LOAN,EUR
DE_A20_LOAN_00026,DE_PARTY_00184,PROT_00226,A20,1000,566.1,2023-12,LOAN,EUR
DE_A20_LOAN_00027,DE_PARTY_00167,PROT_00175,A20,1000,1414.86,2023-12,LOAN,EUR
DE_A20_LOAN_00028,DE_PARTY_00180,PROT_00095,A20,1000,787.59,2023-12,LOAN,EUR
DE_A20_LOAN_00029,DE_PARTY_00140,PROT_00495,A20,1000,947.99,2023-12,LOAN,EUR
DE_A20_LOAN_00030,DE_PARTY_00108,PROT_00027,A20,1000,787.09,2023-12,LOAN,EUR
DE_A20_LOAN_00031,DE_PARTY_00057,PROT_00130,A20,1000,3431.43,2023-12,LOAN,EUR
DE_A20_LOAN_00032,DE_PARTY_00115,PROT_00482,A20,1000,1120.2,2023-12,LOAN,EUR
DE_A20_LOAN_00033,DE_PARTY_00151,PROT_00442,A20,1000,598.69,2023-12,LOAN,EUR
DE_A20_LOAN_00034,DE_PARTY_00072,PROT_00245,A20,1000,1849.91,2023-12,LOAN,EUR
DE_A20_LOAN_00035,DE_PARTY_00002,PROT_00059,A20,1000,542.86,2023-12,LOAN,EUR
DE_A20_LOAN_00036,DE_PARTY_00195,PROT_00421,A20,1000,1280.09,2023-12,LOAN,EUR
DE_A20_LOAN_00037,DE_PARTY_00041,PROT_00034,A20,1000,348.47,2023-12,LOAN,EUR
DE_A20_LOAN_00038,DE_PARTY_00179,PROT_00206,A20,1000,509.0,2023-12,LOAN,EUR
DE_A20_LOAN_00039,DE_PARTY_00109,PROT_00252,A20,1000,1270.9,2023-12,LOAN,EUR
DE_A20_LOAN_00040,DE_PARTY_00088,PROT_00038,A20,1000,1758.9,2023-12,LOAN,EUR
DE_A20_LOAN_00041,DE_PARTY_00072,PROT_00296,A20,1000,1251.61,2023-12,LOAN,EUR
DE_A20_LOAN_00042,DE_PARTY_00040,PROT_00323,A20,1000,1053.61,2023-12,LOAN,EUR
DE_A20_LOAN_00043,DE_PARTY_00056,PROT_00352,A20,1000,942.66,2023-12,LOAN,EUR
DE_A20_LOAN_00044,DE_PARTY_00196,PROT_00028,A20,1000,465.1,2023-12,LOAN,EUR
DE_A20_LOAN_00045,DE_PARTY_00087,PROT_00078,A20,1000,733.23,2023-12,LOAN,EUR
DE_A20_LOAN_00046,DE_PARTY_00027,PROT_00077,A20,1000,856.61,2023-12,LOAN,EUR
DE_A20_LOAN_00047,DE_PARTY_00024,PROT_00416,A20,1000,2129.49,2023-12,LOAN,EUR
DE_A20_LOAN_00048,DE_PARTY_00098,PROT_00289,A20,1000,1387.88,2023-12,LOAN,EUR
DE_A20_LOAN_00049,DE_PARTY_00025,PROT_00486,A20,1000,392.11,2023-12,LOAN,EUR
DE_A20_LOAN_00050,DE_PARTY_00092,PROT_00156,A20,1000,1371.71,2023-12,LOAN,EUR
DE_A20_LOAN_00051,DE_PARTY_00089,PROT_00044,A20,1000,896.34,2023-12,LOAN,EUR
DE_A20_LOAN_00052,DE_PARTY_00155,PROT_00128,A20,1000,752.36,2023-12,LOAN,EUR
DE_A20_LOAN_00053,DE_PARTY_00068,PROT_00061,A20,1000,1630.06,2023-12,LOAN,EUR
DE_A20_LOAN_00054,DE_PARTY_00012,PROT_00286,A20,1000,2096.37,2023-12,LOAN,EUR
DE_A20_LOAN_00055,DE_PARTY_00187,PROT_00392,A20,1000,1974.62,2023-12,LOAN,EUR
DE_A20_LOAN_00056,DE_PARTY_00118,PROT_00214,A20,1000,682.55,2023-12,LOAN,EUR
DE_A20_LOAN_00057,DE_PARTY_00138,PROT_00311,A20,1000,938.08,2023-12,LOAN,EUR
DE_A20_LOAN_00058,DE_PARTY_00032,PROT_00306,A20,1000,1377.63,2023-12,LOAN,EUR
DE_A20_LOAN_00059,DE_PARTY_00097,PROT_00405,A20,1000,2027.77,2023-12,LOAN,EUR
DE_A20_LOAN_00060,DE_PARTY_00021,PROT_00317,A20,1000,847.14,2023-12,LOAN,EUR
DE_A20_LOAN_00061,DE_PARTY_00142,PROT_00116,A20,1000,1010.27,2023-12,LOAN,EUR
DE_A20_LOAN_00062,DE_PARTY_00076,PROT_00398,A20,1000,581.47,2023-12,LOAN,EUR
DE_A20_LOAN_00063,DE_PARTY_00161,PROT_00268,A20,1000,550.95,2023-12,LOAN,EUR
DE_A20_LOAN_00064,DE_PARTY_00159,PROT_00195,A20,1000,1838.82,2023-12,LOAN,EUR
DE_A20_LOAN_00065,DE_PARTY_00093,PROT_00231,A20,1000,2548.11,2023-12,LOAN,EUR
DE_A20_LOAN_00066,DE_PARTY_00148,PROT_00466,A20,1000,1081.56,2023-12,LOAN,EUR
DE_A20_LOAN_00067,DE_PARTY_00050,PROT_00227,A20,1000,2062.11,2023-12,LOAN,EUR
DE_A20_LOAN_00068,DE_PARTY_00181,PROT_00153,A20,1000,1402.97,2023-12,LOAN,EUR
DE_A20_LOAN_00069,DE_PARTY_00018,PROT_00441,A20,1000,766.85,2023-12,LOAN,EUR
DE_A20_LOAN_00070,DE_PARTY_00012,PROT_00302,A20,1000,1402.77,2023-12,LOAN,EUR
DE_A20_LOAN_00071,DE_PARTY_00170,PROT_00220,A20,1000,2841.78,2023-12,LOAN,EUR
DE_A20_LOAN_00072,DE_PARTY_00059,PROT_00157,A20,1000,1105.3,2023-12,LOAN,EUR
DE_A20_LOAN_00073,DE_PARTY_00198,PROT_00292,A20,1000,2887.51,2023-12,LOAN,EUR
DE_A20_LOAN_00074,DE_PARTY_00075,PROT_00318,A20,1000,234.51,2023-12,LOAN,EUR
DE_A20_LOAN_00075,DE_PARTY_00021,PROT_00031,A20,1000,1849.2,2023-12,LOAN,EUR
DE_A20_LOAN_00076,DE_PARTY_00060,PROT_00313,A20,1000,1189.86,2023-12,LOAN,EUR
DE_A20_LOAN_00077,DE_PARTY_00026,PROT_00492,A20,1000,943.84,2023-12,LOAN,EUR
DE_A20_LOAN_00078,DE_PARTY_00098,PROT_00379,A20,1000,1193.23,2023-12,LOAN,EUR
DE_A20_LOAN_00079,DE_PARTY_00072,PROT_00051,A20,1000,342.69,2023-12,LOAN,EUR
DE_A20_LOAN_00080,DE_PARTY_00117,PROT_00486,A20,1000,989.86,2023-12,LOAN,EUR
DE_A20_LOAN_00081,DE_PARTY_00163,PROT_00391,A20,1000,1399.17,2023-12,LOAN,EUR
DE_A20_LOAN_00082,DE_PARTY_00094,PROT_00107,A20,1000,2741.06,2023-12,LOAN,EUR
DE_A20_LOAN_00083,DE_PARTY_00042,PROT_00321,A20,1000,827.49,2023-12,LOAN,EUR
DE_A20_LOAN_00084,DE_PARTY_00095,PROT_00109,A20,1000,695.25,2023-12,LOAN,EUR
DE_A20_LOAN_00085,DE_PARTY_00091,PROT_00136,A20,1000,835.73,2023-12,LOAN,EUR
DE_A20_LOAN_00086,DE_PARTY_00054,PROT_00339,A20,1000,1955.9,2023-12,LOAN,EUR
DE_A20_LOAN_00087,DE_PARTY_00172,PROT_00042,A20,1000,1375.56,2023-12,LOAN,EUR
DE_A20_LOAN_00088,DE_PARTY_00069,PROT_00081,A20,1000,821.81,2023-12,LOAN,EUR
DE_A20_LOAN_00089,DE_PARTY_00180,PROT_00123,A20,1000,1536.6,2023-12,LOAN,EUR
DE_A20_LOAN_00090,DE_PARTY_00175,PROT_00089,A20,1000,1197.05,2023-12,LOAN,EUR
DE_A20_LOAN_00091,DE_PARTY_00166,PROT_00283,A20,1000,2019.39,2023-12,LOAN,EUR
DE_A20_LOAN_00092,DE_PARTY_00019,PROT_00039,A20,1000,741.1,2023-12,LOAN,EUR
DE_A20_LOAN_00093,DE_PARTY_00156,PROT_00081,A20,1000,927.75,2023-12,LOAN,EUR
DE_A20_LOAN_00094,DE_PARTY_00163,PROT_00002,A20,1000,892.57,2023-12,LOAN,EUR
DE_A20_LOAN_00095,DE_PARTY_00044,PROT_00210,A20,1000,469.31,2023-12,LOAN,EUR
DE_A20_LOAN_00096,DE_PARTY_00137,PROT_00231,A20,1000,1348.89,2023-12,LOAN,EUR
DE_A20_LOAN_00097,DE_PARTY_00187,PROT_00353,A20,1000,1320.81,2023-12,LOAN,EUR
DE_A20_LOAN_00098,DE_PARTY_00063,PROT_00305,A20,1000,1132.78,2023-12,LOAN,EUR
DE_A20_LOAN_00099,DE_PARTY_00042,PROT_00241,A20,1000,981.04,2023-12,LOAN,EUR
DE_A20_LOAN_00100,DE_PARTY_00119,PROT_00150,A20,1000,483.06,2023-12,LOAN,EUR
DE_A20_LOAN_00101,DE_PARTY_00098,PROT_00017,A20,1000,877.41,2023-12,LOAN,EUR
DE_A20_LOAN_00102,DE_PARTY_00070,PROT_00119,A20,1000,919.41,2023-12,LOAN,EUR
DE_A20_LOAN_00103,DE_PARTY_00164,PROT_00148,A20,1000,697.85,2023-12,LOAN,EUR
DE_A20_LOAN_00104,DE_PARTY_00177,PROT_00362,A20,1000,1025.15,2023-12,LOAN,EUR
DE_A20_LOAN_00105,DE_PARTY_00143,PROT_00145,A20,1000,1439.13,2023-12,LOAN,EUR
DE_A20_LOAN_00106,DE_PARTY_00057,PROT_00360,A20,1000,3501.95,2023-12,LOAN,EUR
DE_A20_LOAN_00107,DE_PARTY_00176,PROT_00441,A20,1000,1254.02,2023-12,LOAN,EUR
DE_A20_LOAN_00108,DE_PARTY_00084,PROT_00233,A20,1000,1318.03,2023-12,LOAN,EUR
DE_A20_LOAN_00109,DE_PARTY_00197,PROT_00037,A20,1000,1079.98,2023-12,LOAN,EUR
DE_A20_LOAN_00110,DE_PARTY_00199,PROT_00352,A20,1000,357.13,2023-12,LOAN,EUR
DE_A20_LOAN_00111,DE_PARTY_00015,PROT_00120,A20,1000,1111.49,2023-12,LOAN,EUR
DE_A20_LOAN_00112,DE_PARTY_00059,PROT_00474,A20,1000,1170.87,2023-12,LOAN,EUR
DE_A20_LOAN_00113,DE_PARTY_00009,PROT_00136,A20,1000,4950.83,2023-12,LOAN,EUR
DE_A20_LOAN_00114,DE_PARTY_00081,PROT_00404,A20,1000,1006.21,2023-12,LOAN,EUR
DE_A20_LOAN_00115,DE_PARTY_00103,PROT_00406,A20,1000,1353.29,2023-12,LOAN,EUR
DE_A20_LOAN_00116,DE_PARTY_00069,PROT_00321,A20,1000,1106.04,2023-12,LOAN,EUR
DE_A20_LOAN_00117,DE_PARTY_00017,PROT_00302,A20,1000,560.12,2023-12,LOAN,EUR
DE_A20_LOAN_00118,DE_PARTY_00055,PROT_00339,A20,1000,2241.85,2023-12,LOAN,EUR
DE_A20_LOAN_00119,DE_PARTY_00146,PROT_00412,A20,1000,1773.17,2023-12,LOAN,EUR
DE_A20_LOAN_00120,DE_PARTY_00184,PROT_00479,A20,1000,1815.26,2023-12,LOAN,EUR
DE_A20_LOAN_00121,DE_PARTY_00081,PROT_00102,A20,1000,654.41,2023-12,LOAN,EUR
DE_A20_LOAN_00122,DE_PARTY_00055,PROT_00218,A20,1000,2620.29,2023-12,LOAN,EUR
DE_A20_LOAN_00123,DE_PARTY_00168,PROT_00059,A20,1000,487.0,2023-12,LOAN,EUR
DE_A20_LOAN_00124,DE_PARTY_00128,PROT_00279,A20,1000,1605.96,2023-12,LOAN,EUR
DE_A20_LOAN_00125,DE_PARTY_00102,PROT_00116,A20,1000,4203.35,2023-12,LOAN,EUR
DE_A20_LOAN_00126,DE_PARTY_00165,PROT_00332,A20,1000,623.31,2023-12,LOAN,EUR
DE_A20_LOAN_00127,DE_PARTY_00118,PROT_00077,A20,1000,803.99,2023-12,LOAN,EUR
DE_A20_LOAN_00128,DE_PARTY_00037,PROT_00466,A20,1000,1198.9,2023-12,LOAN,EUR
DE_A20_LOAN_00129,DE_PARTY_00068,PROT_00137,A20,1000,834.87,2023-12,LOAN,EUR
DE_A20_LOAN_00130,DE_PARTY_00036,PROT_00424,A20,1000,445.4,2023-12,LOAN,EUR
DE_A20_LOAN_00131,DE_PARTY_00064,PROT_00073,A20,1000,1176.74,2023-12,LOAN,EUR
DE_A20_LOAN_00132,DE_PARTY_00191,PROT_00037,A20,1000,597.04,2023-12,LOAN,EUR
DE_A20_LOAN_00133,DE_PARTY_00144,PROT_00031,A20,1000,1500.45,2023-12,LOAN,EUR
DE_A20_LOAN_00134,DE_PARTY_00138,PROT_00085,A20,1000,650.48,2023-12,LOAN,EUR
DE_A20_LOAN_00135,DE_PARTY_00068,PROT_00406,A20,1000,2862.14,2023-12,LOAN,EUR
DE_A20_LOAN_00136,DE_PARTY_00192,PROT_00158,A20,1000,705.86,2023-12,LOAN,EUR
DE_A20_LOAN_00137,DE_PARTY_00150,PROT_00305,A20,1000,930.88,2023-12,LOAN,EUR
DE_A20_LOAN_00138,DE_PARTY_00110,PROT_00384,A20,1000,1839.92,2023-12,LOAN,EUR
DE_A20_LOAN_00139,DE_PARTY_00150,PROT_00423,A20,1000,539.61,2023-12,LOAN,EUR
DE_A20_LOAN_00140,DE_PARTY_00103,PROT_00292,A20,1000,1294.45,2023-12,LOAN,EUR
DE_A20_LOAN_00141,DE_PARTY_00093,PROT_00472,A20,1000,2474.15,2023-12,LOAN,EUR
DE_A20_LOAN_00142,DE_PARTY_00057,PROT_00148,A20,1000,430.47,2023-12,LOAN,EUR
DE_A20_LOAN_00143,DE_PARTY_00036,PROT_00225,A20,1000,1261.61,2023-12,LOAN,EUR
DE_A20_LOAN_00144,DE_PARTY_00131,PROT_00064,A20,1000,1319.88,2023-12,LOAN,EUR
DE_A20_LOAN_00145,DE_PARTY_00127,PROT_00240,A20,1000,1805.26,2023-12,LOAN,EUR
