instrument_id,protection_id,link_type
DE_A20_LOAN_00000,PROT_00092,COLLATERAL
DE_A20_LOAN_00001,PROT_00155,COLLATERAL
DE_A20_LOAN_00002,PROT_00008,COLLATERAL
DE_A20_LOAN_00003,PROT_00363,COLLATERAL
DE_A20_LOAN_00004,PROT_00274,COLLATERAL
DE_A20_LOAN_00005,PROT_00065,COLLATERAL
DE_A20_LOAN_00006,PROT_00141,COLLATERAL
DE_A20_LOAN_00007,PROT_00024,COLLATERAL
DE_A20_LOAN_00008,PROT_00499,COLLATERAL
DE_A20_LOAN_00009,PROT_00028,COLLATERAL
DE_A20_LOAN_00010,PROT_00284,COLLATERAL
DE_A20_LOAN_00011,PROT_00150,COLLATERAL
DE_A20_LOAN_00012,PROT_00358,COLLATERAL
DE_A20_LOAN_00013,PROT_00484,COLLATERAL
DE_A20_LOAN_00014,PROT_00065,COLLATERAL
DE_A20_LOAN_00015,PROT_00327,COLLATERAL
DE_A20_LOAN_00016,PROT_00445,COLLATERAL
DE_A20_LOAN_00017,PROT_00386,COLLATERAL
DE_A20_LOAN_00018,PROT_00252,COLLATERAL
DE_A20_LOAN_00019,PROT_00053,COLLATERAL
DE_A20_LOAN_00020,PROT_00447,COLLATERAL
DE_A20_LOAN_00021,PROT_00007,COLLATERAL
DE_A20_LOAN_00022,PROT_00294,COLLATERAL
DE_A20_LOAN_00023,PROT_00146,COLLATERAL
DE_A20_LOAN_00024,PROT_00241,COLLATERAL
DE_A20_LOAN_00025,PROT_00246,COLLATERAL
DE_A20_LOAN_00026,PROT_00226,COLLATERAL
DE_A20_LOAN_00027,PROT_00175,COLLATERAL
DE_A20_LOAN_00028,PROT_00095,COLLATERAL
DE_A20_LOAN_00029,PROT_00495,COLLATERAL
DE_A20_LOAN_00030,PROT_00027,COLLATERAL
DE_A20_LOAN_00031,PROT_00130,COLLATERAL
DE_A20_LOAN_00032,PROT_00482,COLLATERAL
DE_A20_LOAN_00033,PROT_00442,COLLATERAL
DE_A20_LOAN_00034,PROT_00245,COLLATERAL
DE_A20_LOAN_00035,PROT_00059,COLLATERAL
DE_A20_LOAN_00036,PROT_00421,COLLATERAL
DE_A20_LOAN_00037,PROT_00034,COLLATERAL
DE_A20_LOAN_00038,PROT_00206,COLLATERAL
DE_A20_LOAN_00039,PROT_00252,COLLATERAL
DE_A20_LOAN_00040,PROT_00038,COLLATERAL
DE_A20_LOAN_00041,PROT_00296,COLLATERAL
DE_A20_LOAN_00042,PROT_00323,COLLATERAL
DE_A20_LOAN_00043,PROT_00352,COLLATERAL
DE_A20_LOAN_00044,PROT_00028,COLLATERAL
DE_A20_LOAN_00045,PROT_00078,COLLATERAL
DE_A20_LOAN_00046,PROT_00077,COLLATERAL
DE_A20_LOAN_00047,PROT_00416,COLLATERAL
DE_A20_LOAN_00048,PROT_00289,COLLATERAL
DE_A20_LOAN_00049,PROT_00486,COLLATERAL
DE_A20_LOAN_00050,PROT_00156,COLLATERAL
DE_A20_LOAN_00051,PROT_00044,COLLATERAL
DE_A20_LOAN_00052,PROT_00128,COLLATERAL
DE_A20_LOAN_00053,PROT_00061,COLLATERAL
DE_A20_LOAN_00054,PROT_00286,COLLATERAL
DE_A20_LOAN_00055,PROT_00392,COLLATERAL
DE_A20_LOAN_00056,PROT_00214,COLLATERAL
DE_A20_LOAN_00057,PROT_00311,COLLATERAL
DE_A20_LOAN_00058,PROT_00306,COLLATERAL
DE_A20_LOAN_00059,PROT_00405,COLLATERAL
DE_A20_LOAN_00060,PROT_00317,COLLATERAL
DE_A20_LOAN_00061,PROT_00116,COLLATERAL
DE_A20_LOAN_00062,PROT_00398,COLLATERAL
DE_A20_LOAN_00063,PROT_00268,COLLATERAL
DE_A20_LOAN_00064,PROT_00195,COLLATERAL
DE_A20_LOAN_00065,PROT_00231,COLLATERAL
DE_A20_LOAN_00066,PROT_00466,COLLATERAL
DE_A20_LOAN_00067,PROT_00227,COLLATERAL
DE_A20_LOAN_00068,PROT_00153,COLLATERAL
DE_A20_LOAN_00069,PROT_00441,COLLATERAL
DE_A20_LOAN_00070,PROT_00302,COLLATERAL
DE_A20_LOAN_00071,PROT_00220,COLLATERAL
DE_A20_LOAN_00072,PROT_00157,COLLATERAL
DE_A20_LOAN_00073,PROT_00292,COLLATERAL
DE_A20_LOAN_00074,PROT_00318,COLLATERAL
DE_A20_LOAN_00075,PROT_00031,COLLATERAL
DE_A20_LOAN_00076,PROT_00313,COLLATERAL
DE_A20_LOAN_00077,PROT_00492,COLLATERAL
DE_A20_LOAN_00078,PROT_00379,COLLATERAL
DE_A20_LOAN_00079,PROT_00051,COLLATERAL
DE_A20_LOAN_00080,PROT_00486,COLLATERAL
DE_A20_LOAN_00081,PROT_00391,COLLATERAL
DE_A20_LOAN_00082,PROT_00107,COLLATERAL
DE_A20_LOAN_00083,PROT_00321,COLLATERAL
DE_A20_LOAN_00084,PROT_00109,COLLATERAL
DE_A20_LOAN_00085,PROT_00136,COLLATERAL
DE_A20_LOAN_00086,PROT_00339,COLLATERAL
DE_A20_LOAN_00087,PROT_00042,COLLATERAL
DE_A20_LOAN_00088,PROT_00081,COLLATERAL
DE_A20_LOAN_00089,PROT_00123,COLLATERAL
DE_A20_LOAN_00090,PROT_00089,COLLATERAL
DE_A20_LOAN_00091,PROT_00283,COLLATERAL
DE_A20_LOAN_00092,PROT_00039,COLLATERAL
DE_A20_LOAN_00093,PROT_00081,COLLATERAL
DE_A20_LOAN_00094,PROT_00002,COLLATERAL
DE_A20_LOAN_00095,PROT_00210,COLLATERAL
DE_A20_LOAN_00096,PROT_00231,COLLATERAL
DE_A20_LOAN_00097,PROT_00353,COLLATERAL
DE_A20_LOAN_00098,PROT_00305,COLLATERAL
DE_A20_LOAN_00099,PROT_00241,COLLATERAL
DE_A20_LOAN_00100,PROT_00150,COLLATERAL
DE_A20_LOAN_00101,PROT_00017,COLLATERAL
DE_A20_LOAN_00102,PROT_00119,COLLATERAL
DE_A20_LOAN_00103,PROT_00148,COLLATERAL
DE_A20_LOAN_00104,PROT_00362,COLLATERAL
DE_A20_LOAN_00105,PROT_00145,COLLATERAL
DE_A20_LOAN_00106,PROT_00360,COLLATERAL
DE_A20_LOAN_00107,PROT_00441,COLLATERAL
DE_A20_LOAN_00108,PROT_00233,COLLATERAL
DE_A20_LOAN_00109,PROT_00037,COLLATERAL
DE_A20_LOAN_00110,PROT_00352,COLLATERAL
DE_A20_LOAN_00111,PROT_00120,COLLATERAL
DE_A20_LOAN_00112,PROT_00474,COLLATERAL
DE_A20_LOAN_00113,PROT_00136,COLLATERAL
DE_A20_LOAN_00114,PROT_00404,COLLATERAL
DE_A20_LOAN_00115,PROT_00406,COLLATERAL
DE_A20_LOAN_00116,PROT_00321,COLLATERAL
DE_A20_LOAN_00117,PROT_00302,COLLATERAL
DE_A20_LOAN_00118,PROT_00339,COLLATERAL
DE_A20_LOAN_00119,PROT_00412,COLLATERAL
DE_A20_LOAN_00120,PROT_00479,COLLATERAL
DE_A20_LOAN_00121,PROT_00102,COLLATERAL
DE_A20_LOAN_00122,PROT_00218,COLLATERAL
DE_A20_LOAN_00123,PROT_00059,COLLATERAL
DE_A20_LOAN_00124,PROT_00279,COLLATERAL
DE_A20_LOAN_00125,PROT_00116,COLLATERAL
DE_A20_LOAN_00126,PROT_00332,COLLATERAL
DE_A20_LOAN_00127,PROT_00077,COLLATERAL
DE_A20_LOAN_00128,PROT_00466,COLLATERAL
DE_A20_LOAN_00129,PROT_00137,COLLATERAL
DE_A20_LOAN_00130,PROT_00424,COLLATERAL
DE_A20_LOAN_00131,PROT_00073,COLLATERAL
DE_A20_LOAN_00132,PROT_00037,COLLATERAL
DE_A20_LOAN_00133,PROT_00031,COLLATERAL
DE_A20_LOAN_00134,PROT_00085,COLLATERAL
DE_A20_LOAN_00135,PROT_00406,COLLATERAL
DE_A20_LOAN_00136,PROT_00158,COLLATERAL
DE_A20_LOAN_00137,PROT_00305,COLLATERAL
DE_A20_LOAN_00138,PROT_00384,COLLATERAL
