protection_id,protection_type,protection_value,is_eligible_bsi
PROT_00001,REAL_ESTATE,272095.96,True
PROT_00002,FINANCIAL_COLLATERAL,366016.44,True
PROT_00003,FINANCIAL_COLLATERAL,496767.58,True
PROT_00004,FINANCIAL_COLLATERAL,109170.1,True
PROT_00005,REAL_ESTATE,173629.19,True
PROT_00006,FINANCIAL_COLLATERAL,227559.23,True
PROT_00007,REAL_ESTATE,239822.68,True
PROT_00008,GUARANTEE,234959.48,True
PROT_00009,REAL_ESTATE,458424.95,True
PROT_00010,GUARANTEE,371314.69,True
PROT_00011,REAL_ESTATE,323557.35,True
PROT_00012,GUARANTEE,189217.72,True
PROT_00013,FINANCIAL_COLLATERAL,420705.67,True
PROT_00014,GUARANTEE,479777.23,True
PROT_00015,FINANCIAL_COLLATERAL,419539.23,True
PROT_00016,FINANCIAL_COLLATERAL,50704.3,True
PROT_00017,GUARANTEE,336380.62,True
PROT_00018,REAL_ESTATE,73010.92,True
PROT_00019,REAL_ESTATE,165923.25,True
PROT_00020,REAL_ESTATE,76786.12,True
PROT_00021,REAL_ESTATE,321707.95,True
PROT_00022,REAL_ESTATE,358965.46,True
PROT_00023,FINANCIAL_COLLATERAL,101519.44,True
PROT_00024,REAL_ESTATE,222727.5,True
PROT_00025,FINANCIAL_COLLATERAL,255306.43,True
PROT_00026,FINANCIAL_COLLATERAL,216073.86,True
PROT_00027,FINANCIAL_COLLATERAL,104461.25,True
PROT_00028,GUARANTEE,238526.51,True
PROT_00029,GUARANTEE,388030.12,True
PROT_00030,FINANCIAL_COLLATERAL,81953.45,True
PROT_00031,GUARANTEE,86081.01,True
PROT_00032,REAL_ESTATE,209647.08,True
PROT_00033,REAL_ESTATE,473776.57,True
PROT_00034,FINANCIAL_COLLATERAL,350857.69,True
PROT_00035,REAL_ESTATE,355401.48,True
PROT_00036,FINANCIAL_COLLATERAL,212864.0,True
PROT_00037,FINANCIAL_COLLATERAL,317147.36,True
PROT_00038,REAL_ESTATE,54559.03,True
PROT_00039,GUARANTEE,336243.22,True
PROT_00040,REAL_ESTATE,460979.13,True
PROT_00041,REAL_ESTATE,325658.06,True
PROT_00042,FINANCIAL_COLLATERAL,443164.37,True
PROT_00043,FINANCIAL_COLLATERAL,375787.87,True
PROT_00044,FINANCIAL_COLLATERAL,104251.29,True
PROT_00045,FINANCIAL_COLLATERAL,456103.99,True
PROT_00046,GUARANTEE,79899.73,True
