instrument_id,da_bsapr_indicator,common_da_specific,replicable_to,ref_period
DE_A20_LOAN_00000,DA_BSAPR_03,Scenario2_common+da_specific,FR/IT/ES without refactoring,2023-12
DE_A20_LOAN_00001,DA_BSAPR_01,Scenario2_common+da_specific,FR/IT/ES without refactoring,2023-12
DE_A20_LOAN_00002,DA_BSAPR_03,Scenario2_common+da_specific,FR/IT/ES without refactoring,2023-12
DE_A20_LOAN_00003,DA_BSAPR_02,Scenario2_common+da_specific,FR/IT/ES without refactoring,2023-12
DE_A20_LOAN_00004,DA_BSAPR_02,Scenario2_common+da_specific,FR/IT/ES without refactoring,2023-12
DE_A20_LOAN_00005,DA_BSAPR_01,Scenario2_common+da_specific,FR/IT/ES without refactoring,2023-12
DE_A20_LOAN_00006,DA_BSAPR_02,Scenario2_common+da_specific,FR/IT/ES without refactoring,2023-12
DE_A20_LOAN_00007,DA_BSAPR_01,Scenario2_common+da_specific,FR/IT/ES without refactoring,2023-12
DE_A20_LOAN_00008,DA_BSAPR_01,Scenario2_common+da_specific,FR/IT/ES without refactoring,2023-12
DE_A20_LOAN_00009,DA_BSAPR_02,Scenario2_common+da_specific,FR/IT/ES without refactoring,2023-12
DE_A20_LOAN_00010,DA_BSAPR_01,Scenario2_common+da_specific,FR/IT/ES without refactoring,2023-12
DE_A20_LOAN_00011,DA_BSAPR_02,Scenario2_common+da_specific,FR/IT/ES without refactoring,2023-12
DE_A20_LOAN_00012,DA_BSAPR_03,Scenario2_common+da_specific,FR/IT/ES without refactoring,2023-12
DE_A20_LOAN_00013,DA_BSAPR_03,Scenario2_common+da_specific,FR/IT/ES without refactoring,2023-12
DE_A20_LOAN_00014,DA_BSAPR_01,Scenario2_common+da_specific,FR/IT/ES without refactoring,2023-12
DE_A20_LOAN_00015,DA_BSAPR_02,Scenario2_common+da_specific,FR/IT/ES without refactoring,2023-12
DE_A20_LOAN_00016,DA_BSAPR_02,Scenario2_common+da_specific,FR/IT/ES without refactoring,2023-12
DE_A20_LOAN_00017,DA_BSAPR_03,Scenario2_common+da_specific,FR/IT/ES without refactoring,2023-12
DE_A20_LOAN_00018,DA_BSAPR_03,Scenario2_common+da_specific,FR/IT/ES without refactoring,2023-12
DE_A20_LOAN_00019,DA_BSAPR_02,Scenario2_common+da_specific,FR/IT/ES without refactoring,2023-12
DE_A20_LOAN_00020,DA_BSAPR_01,Scenario2_common+da_specific,FR/IT/ES without refactoring,2023-12
DE_A20_LOAN_00021,DA_BSAPR_03,Scenario2_common+da_specific,FR/IT/ES without refactoring,2023-12
DE_A20_LOAN_00022,DA_BSAPR_01,Scenario2_common+da_specific,FR/IT/ES without refactoring,2023-12
DE_A20_LOAN_00023,DA_BSAPR_01,Scenario2_common+da_specific,FR/IT/ES without refactoring,2023-12
DE_A20_LOAN_00024,DA_BSAPR_03,Scenario2_common+da_specific,FR/IT/ES without refactoring,2023-12
DE_A20_LOAN_00025,DA_BSAPR_01,Scenario2_common+da_specific,FR/IT/ES without refactoring,2023-12
DE_A20_LOAN_00026,DA_BSAPR_01,Scenario2_common+da_specific,FR/IT/ES without refactoring,2023-12
